date,description,amount,type
2023-10-01,Salary Deposit,3500.00,income
2023-10-02,Rent Payment,-1200.00,expense
2023-10-03,Grocery Store,-85.50,expense
2023-10-05,Netflix Subscription,-15.99,expense
2023-10-06,Gas Station,-45.00,expense
2023-10-08,Restaurant Dinner,-60.00,expense
2023-10-10,Amazon Purchase,-35.00,expense
2023-10-12,Coffee Shop,-6.50,expense
2023-10-15,Electric Bill,-90.00,expense
2023-10-18,Gym Membership,-50.00,expense
2023-10-20,Uber Ride,-25.00,expense
2023-10-22,Grocery Store,-92.30,expense
2023-10-25,Movie Tickets,-30.00,expense
2023-10-28,Internet Bill,-60.00,expense
2023-10-30,Shopping Mall,-150.00,expense
